epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6069,1.31755,2.44674,1.26861,0.7047,0.82648,0.83603,0.53643,1.19375,2.04843,1.29214,0.000664948,0.000664948,0.000664948
2,84.0606,1.40586,1.81411,1.32712,0.84603,0.77781,0.81811,0.47888,1.35096,1.56366,1.47094,0.0012657,0.0012657,0.0012657
3,123.443,1.42541,1.58303,1.39868,0.88651,0.85603,0.91025,0.52888,1.26155,1.34652,1.38002,0.00180045,0.00180045,0.00180045
4,162.544,1.44204,1.37958,1.4189,0.88867,0.87482,0.91354,0.55065,1.32455,1.10349,1.39687,0.001703,0.001703,0.001703
5,201.54,1.41198,1.29114,1.37826,0.89584,0.88584,0.93673,0.5824,1.24053,0.93702,1.33737,0.001604,0.001604,0.001604
6,240.414,1.2932,1.16651,1.31049,0.91254,0.89498,0.94923,0.59798,1.23493,0.93642,1.34509,0.001505,0.001505,0.001505
7,280.572,1.38391,1.16326,1.39758,0.8763,0.9057,0.9228,0.56153,1.21823,0.95433,1.37012,0.001406,0.001406,0.001406
8,319.503,1.29788,1.05192,1.31676,0.94003,0.93044,0.95748,0.59876,1.17348,0.8777,1.33966,0.001307,0.001307,0.001307
9,359.209,1.3066,1.05007,1.33536,0.9475,0.90656,0.95818,0.62982,1.10072,0.83604,1.27675,0.001208,0.001208,0.001208
10,399.13,1.23962,0.98341,1.31447,0.89431,0.94064,0.95311,0.6315,1.10244,0.80347,1.25817,0.001109,0.001109,0.001109
11,471.423,1.18921,0.85382,1.28172,0.91954,0.93928,0.96718,0.61506,1.13395,0.78665,1.30109,0.00101,0.00101,0.00101
12,512.59,1.12903,0.81526,1.26941,0.90677,0.93607,0.95896,0.62101,1.1057,0.78084,1.27977,0.000911,0.000911,0.000911
13,551.552,1.12407,0.79483,1.25258,0.94849,0.92488,0.96451,0.6308,1.06533,0.73695,1.25782,0.000812,0.000812,0.000812
14,590.459,1.08676,0.71848,1.2264,0.94804,0.91654,0.96619,0.6533,1.01542,0.68501,1.23928,0.000713,0.000713,0.000713
15,629.45,1.1059,0.73918,1.2462,0.92929,0.9602,0.97618,0.6522,1.04671,0.66389,1.22621,0.000614,0.000614,0.000614
16,668.315,1.07745,0.68884,1.23202,0.96254,0.93865,0.97805,0.66061,1.06491,0.66671,1.24185,0.000515,0.000515,0.000515
17,707.175,1.01961,0.64346,1.2097,0.92899,0.94521,0.96774,0.67785,0.99662,0.63065,1.23138,0.000416,0.000416,0.000416
18,746.481,0.99488,0.62938,1.19643,0.95408,0.9488,0.97397,0.67724,0.97266,0.6242,1.2097,0.000317,0.000317,0.000317
19,786.789,0.97631,0.63008,1.17924,0.9419,0.96236,0.97255,0.67911,0.96341,0.61594,1.21391,0.000218,0.000218,0.000218
20,826.532,0.96961,0.60963,1.17395,0.93034,0.97569,0.97438,0.68596,0.94652,0.59269,1.2034,0.000119,0.000119,0.000119
